2026-03-07 15:38:10,807 INFO    MainThread:844329 [wandb_setup.py:_flush():80] Current SDK version is 0.23.0
2026-03-07 15:38:10,808 INFO    MainThread:844329 [wandb_setup.py:_flush():80] Configure stats pid to 844329
2026-03-07 15:38:10,808 INFO    MainThread:844329 [wandb_setup.py:_flush():80] Loading settings from /mnt/d_disk/ch22b007/.config/wandb/settings
2026-03-07 15:38:10,808 INFO    MainThread:844329 [wandb_setup.py:_flush():80] Loading settings from /mnt/d_disk/ch22b007/da6401_assignment_1/wandb/settings
2026-03-07 15:38:10,808 INFO    MainThread:844329 [wandb_setup.py:_flush():80] Loading settings from environment variables
2026-03-07 15:38:10,808 INFO    MainThread:844329 [wandb_init.py:setup_run_log_directory():713] Logging user logs to /mnt/d_disk/ch22b007/da6401_assignment_1/wandb/run-20260307_153810-bby10q1m/logs/debug.log
2026-03-07 15:38:10,808 INFO    MainThread:844329 [wandb_init.py:setup_run_log_directory():714] Logging internal logs to /mnt/d_disk/ch22b007/da6401_assignment_1/wandb/run-20260307_153810-bby10q1m/logs/debug-internal.log
2026-03-07 15:38:10,808 INFO    MainThread:844329 [wandb_init.py:init():840] calling init triggers
2026-03-07 15:38:10,808 INFO    MainThread:844329 [wandb_init.py:init():845] wandb.init called with sweep_config: {}
config: {'dataset': 'mnist', 'epochs': 10, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 0.0, 'optimizer': 'sgd', 'num_layers': 3, 'hidden_size': [128], 'activation': 'relu', 'weight_init': 'xavier', 'loss': 'cross_entropy', 'wandb_project': 'autograder_test', 'model_save_path': 'src/best_model.npy', '_wandb': {}}
2026-03-07 15:38:10,808 INFO    MainThread:844329 [wandb_init.py:init():888] starting backend
2026-03-07 15:38:11,081 INFO    MainThread:844329 [wandb_init.py:init():891] sending inform_init request
2026-03-07 15:38:11,096 INFO    MainThread:844329 [wandb_init.py:init():899] backend started and connected
2026-03-07 15:38:11,114 INFO    MainThread:844329 [wandb_init.py:init():969] updated telemetry
2026-03-07 15:38:11,143 INFO    MainThread:844329 [wandb_init.py:init():993] communicating run to backend with 90.0 second timeout
2026-03-07 15:38:12,005 INFO    MainThread:844329 [wandb_init.py:init():1040] starting run threads in backend
2026-03-07 15:38:12,187 INFO    MainThread:844329 [wandb_run.py:_console_start():2504] atexit reg
2026-03-07 15:38:12,187 INFO    MainThread:844329 [wandb_run.py:_redirect():2352] redirect: wrap_raw
2026-03-07 15:38:12,187 INFO    MainThread:844329 [wandb_run.py:_redirect():2421] Wrapping output streams.
2026-03-07 15:38:12,187 INFO    MainThread:844329 [wandb_run.py:_redirect():2444] Redirects installed.
2026-03-07 15:38:12,191 INFO    MainThread:844329 [wandb_init.py:init():1080] run started, returning control to user process
2026-03-07 15:39:10,485 INFO    MainThread:844329 [wandb_run.py:_config_callback():1385] config_cb ('_wandb', 'visualize', 'conf_mat') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/confusion_matrix/v1', 'fieldSettings': {'Actual': 'Actual', 'Predicted': 'Predicted', 'nPredictions': 'nPredictions'}, 'stringSettings': {'title': 'Confusion Matrix Curve'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'conf_mat_table'}], 'fields': []}]}]}}} None
2026-03-07 15:39:11,877 INFO    wandb-AsyncioManager-main:844329 [service_client.py:_forward_responses():80] Reached EOF.
2026-03-07 15:39:11,877 INFO    wandb-AsyncioManager-main:844329 [mailbox.py:close():137] Closing mailbox, abandoning 2 handles.
